iter	Passed	Remaining
0	1	140
1	3	155
2	4	151
3	6	147
4	7	151
5	9	149
6	11	149
7	12	148
8	14	147
9	16	147
10	17	145
11	19	144
12	21	146
13	23	147
14	25	145
15	27	143
16	28	141
17	30	139
18	32	137
19	33	135
20	35	133
21	37	131
22	38	129
23	40	127
24	41	124
25	42	121
26	43	118
27	45	116
28	47	115
29	48	114
30	50	112
31	51	109
32	52	107
33	54	105
34	55	102
35	56	100
36	57	98
37	58	96
38	60	93
39	60	91
40	61	89
41	62	85
42	63	84
43	64	82
44	65	79
45	66	77
46	67	75
47	68	74
48	69	72
49	70	70
50	71	68
51	72	66
52	73	64
53	74	63
54	74	61
55	76	59
56	77	58
57	78	56
58	79	55
59	80	53
60	81	51
61	82	50
62	83	48
63	84	47
64	85	45
65	86	44
66	87	42
67	88	41
68	89	40
69	90	38
70	91	37
71	92	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	98	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	21
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
