iter	Passed	Remaining
0	150	149883
1	151	75436
2	151	50486
3	152	37995
4	153	30523
5	154	25517
6	154	21984
7	155	19319
8	156	17226
9	157	15559
10	157	14191
11	158	13072
12	159	12115
13	160	11302
14	161	10588
15	161	9962
16	162	9409
17	163	8920
18	164	8480
19	164	8082
20	165	7726
21	166	7404
22	167	7105
23	168	6834
24	168	6581
25	169	6348
26	170	6129
27	170	5927
28	171	5741
29	172	5565
30	172	5400
31	173	5245
32	174	5122
33	175	4992
34	176	4871
35	177	4756
36	178	4645
37	179	4537
38	179	4434
39	180	4335
40	181	4241
41	182	4151
42	182	4064
43	183	3980
44	183	3902
45	184	3826
46	185	3753
47	185	3682
48	186	3617
49	187	3553
50	187	3494
51	188	3438
52	189	3390
53	190	3337
54	191	3289
55	192	3240
56	193	3194
57	193	3147
58	194	3103
59	195	3058
60	195	3016
61	196	2976
62	197	2936
63	198	2898
64	198	2859
65	199	2822
66	200	2785
67	200	2751
68	201	2717
69	201	2683
70	202	2650
71	203	2621
72	204	2594
73	205	2567
74	206	2542
75	206	2514
76	207	2488
77	208	2463
78	209	2437
79	209	2411
80	210	2385
81	210	2361
82	211	2335
83	212	2312
84	212	2289
85	213	2267
86	214	2246
87	214	2225
88	215	2205
89	216	2186
90	216	2167
91	217	2148
92	218	2131
93	219	2115
94	220	2099
95	221	2082
96	221	2065
97	222	2049
98	223	2034
99	224	2017
100	224	2000
101	225	1983
102	225	1967
103	226	1953
104	227	1937
105	228	1923
106	228	1909
107	229	1895
108	230	1880
109	230	1868
110	231	1856
111	232	1843
112	233	1833
113	234	1823
114	235	1812
115	236	1801
116	237	1788
117	237	1777
118	238	1765
119	239	1753
120	239	1742
121	240	1730
122	241	1719
123	241	1709
124	242	1698
125	243	1687
126	243	1676
127	244	1665
128	245	1655
129	246	1646
130	246	1636
131	247	1627
132	248	1618
133	249	1611
134	250	1603
135	251	1595
136	252	1587
137	252	1578
138	253	1570
139	254	1561
140	254	1553
141	255	1542
142	256	1534
143	256	1525
144	257	1517
145	258	1510
146	258	1502
147	259	1495
148	260	1487
149	261	1479
150	261	1472
151	262	1464
152	263	1459
153	264	1452
154	265	1446
155	266	1440
156	267	1434
157	267	1427
158	268	1420
159	269	1414
160	269	1406
161	270	1399
162	271	1392
163	271	1386
164	272	1380
165	273	1373
166	274	1367
167	274	1360
168	275	1353
169	276	1347
170	276	1341
171	277	1334
172	278	1329
173	278	1324
174	279	1319
175	280	1314
176	281	1308
177	282	1304
178	283	1298
179	283	1293
180	284	1287
181	285	1282
182	286	1277
183	286	1272
184	287	1267
185	288	1261
186	288	1256
187	289	1251
188	290	1246
189	290	1240
190	291	1235
191	292	1230
192	293	1227
193	294	1222
194	295	1218
195	295	1213
196	296	1209
197	297	1205
198	298	1200
199	298	1195
200	299	1191
201	300	1186
